                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    136,                0.78986,                0.49588,                0.98588,                0.96324,                0.90572,                0.95198,                0.76709,                0.76422,                0.41823,                0.98099,               0.004654,               0.004654,               0.004654
                    137,                0.79028,                0.49329,                0.98293,                0.94782,                0.91311,                0.94987,                0.76224,                0.77936,                0.42639,                0.98948,              0.0046144,              0.0046144,              0.0046144
                    138,                0.78289,                0.49655,                 0.9826,                0.95764,                0.89863,                0.94724,                0.75925,                0.77814,                0.43921,                0.98576,              0.0045748,              0.0045748,              0.0045748
                    139,                0.78719,                0.49092,                 0.9779,                0.95141,                0.91235,                0.95286,                0.76859,                0.76067,                0.42373,                0.97822,              0.0045352,              0.0045352,              0.0045352
                    140,                0.77178,                0.48446,                0.97295,                0.96548,                0.90936,                0.95412,                0.76783,                0.77475,                 0.4262,                0.98938,              0.0044956,              0.0044956,              0.0044956
                    141,                0.77956,                 0.4912,                0.97827,                0.95689,                0.91684,                0.95015,                0.76346,                 0.7776,                0.43085,                0.99626,               0.004456,               0.004456,               0.004456
                    142,                0.78089,                0.48894,                0.97881,                0.95778,                0.91505,                0.95344,                0.76627,                0.77474,                0.42728,                0.99285,              0.0044164,              0.0044164,              0.0044164
                    143,                0.77627,                0.48884,                0.97635,                 0.9516,                0.91771,                0.95157,                0.76423,                0.77664,                0.43555,                0.99375,              0.0043768,              0.0043768,              0.0043768
                    144,                0.78343,                0.49164,                 0.9828,                0.96805,                0.90853,                0.95127,                0.76898,                0.76134,                0.42726,                0.98068,              0.0043372,              0.0043372,              0.0043372
                    145,                 0.7815,                0.48982,                0.97809,                0.95812,                0.92148,                0.95285,                0.77016,                0.76443,                0.42149,                0.98594,              0.0042976,              0.0042976,              0.0042976
                    146,                0.76819,                0.47905,                0.97244,                0.95459,                  0.924,                0.95183,                0.76742,                0.76916,                0.41427,                0.99127,               0.004258,               0.004258,               0.004258
                    147,                0.76798,                0.48307,                0.96923,                0.95514,                0.91434,                0.95142,                0.77018,                0.77082,                0.42813,                0.98795,              0.0042184,              0.0042184,              0.0042184
                    148,                0.76334,                0.48188,                   0.97,                 0.9668,                0.91095,                0.95428,                0.76863,                0.76931,                0.43455,                0.98428,              0.0041788,              0.0041788,              0.0041788
                    149,                0.76541,                0.47778,                0.96911,                0.95843,                0.91623,                0.95433,                0.77222,                0.76482,                0.42389,                0.97759,              0.0041392,              0.0041392,              0.0041392
                    150,                0.76686,                0.47565,                 0.9715,                0.96415,                0.91422,                0.95381,                0.76953,                0.77891,                0.41768,                0.98906,              0.0040996,              0.0040996,              0.0040996
                    151,                0.76239,                0.47424,                0.96909,                0.96211,                0.91734,                0.95345,                0.77493,                0.77458,                0.42382,                0.98914,                0.00406,                0.00406,                0.00406
                    152,                0.75782,                0.47764,                 0.9701,                0.95745,                0.92607,                0.95526,                0.77472,                0.77793,                0.41087,                0.99188,              0.0040204,              0.0040204,              0.0040204
                    153,                0.76468,                0.47474,                0.97067,                0.96591,                0.91325,                0.95458,                0.77036,                0.77461,                0.42439,                 0.9908,              0.0039808,              0.0039808,              0.0039808
